id,amount,sold_on,fvf,source_em
53216645,74.7,4/5/18 11:25,4.3,8
53216989,12.35,4/5/18 11:42,1.2,8
53219292,29.75,4/5/18 14:16,3.73,8
53219633,150.5,4/5/18 14:42,9.08,8
53220554,70.4,4/5/18 15:43,3.99,8
53220634,37.35,4/5/18 15:44,2.42,8
53221159,222,4/5/18 16:29,14.19,4
53221247,112.05,4/5/18 16:27,6.35,8
53223266,37.35,4/5/18 18:24,2.62,8
53223549,37.5,4/5/18 18:38,2.26,8
53229156,255,4/6/18 3:12,15.38,8
53229244,102.95,4/6/18 3:08,6.12,8
53231424,70.15,4/6/18 6:13,4.17,8
53232890,112.05,4/6/18 7:37,7.16,8
53233399,240,4/7/18 3:26,13.61,8
53233492,37.35,4/6/18 8:33,2.35,4
53233575,65.8,4/6/18 8:25,4.26,8
53233700,65.6,4/6/18 8:31,4.01,8
53234116,103.3,4/6/18 9:05,5.58,8
53234481,32.8,4/6/18 9:27,1.8,8
53236179,135.95,4/10/18 10:24,13.45,8
53236262,131.6,4/6/18 10:13,9.36,8
53236409,37.35,4/6/18 10:15,2.45,3
53236524,37.35,4/6/18 10:26,2.22,8
53236973,37.5,4/6/18 10:54,2.23,8
53238032,32.8,4/6/18 12:15,2.15,8
53238312,113,4/6/18 12:41,7.53,8
53238449,38.38,4/6/18 14:02,5.47,4
53238975,74.7,4/6/18 13:23,5.31,8
53240099,32.8,4/6/18 15:19,1.92,8
53240113,37.35,4/6/18 14:47,2.05,8
53241164,74.7,4/6/18 16:15,4.98,8
53242602,14.39,4/6/18 17:59,1.89,8
53245051,26.8,5/5/18 10:59,1.45,8
53251700,32.9,4/7/18 3:57,1.87,8
53252045,37.35,4/7/18 5:52,2.02,8
53253937,37.35,4/7/18 7:53,2.08,8
53253983,37.35,4/7/18 7:59,2.62,8
53254236,74.7,4/7/18 8:14,4.5,8
53255448,107.5,4/7/18 9:58,7.45,8
53255524,206.4,4/7/18 10:33,11.33,8
53256685,45.1,4/7/18 11:28,6.26,8
53256875,32.9,4/7/18 11:26,1.87,8
53257404,112.5,4/7/18 12:08,7.29,8
53257878,164.3,4/7/18 12:39,11.68,8
53258582,70.15,4/7/18 13:45,6.31,22
53258932,23.06,4/7/18 13:49,1.89,8
53259074,37.5,4/7/18 13:58,2.5,8
53259106,32.8,4/7/18 14:04,1.8,8
53259745,26.8,4/7/18 15:47,0.94,0
53260330,70.15,4/7/18 15:22,4.74,8
53260343,70.15,4/7/18 15:20,4.23,8
53260389,32.9,4/7/18 15:31,1.98,4
53262245,32.8,4/7/18 17:31,1.92,8
53263174,113,4/7/18 18:33,7.12,8
53264159,37.35,4/7/18 19:44,2.15,8
53264551,131.2,4/7/18 20:10,7.79,8
53267063,32.9,4/8/18 8:10,1.9,4
53269019,37.35,4/8/18 4:27,2.42,8
53269194,37.5,4/8/18 4:52,2.63,8
53269380,37.35,4/8/18 5:11,2.59,8
53269480,70.4,4/8/18 5:14,4.25,8
53271346,75,4/8/18 7:47,5.06,8
53271399,37.5,4/8/18 8:01,1.31,0
53271472,74.7,4/8/18 7:46,4.24,8
53271659,259.5,4/8/18 8:04,14.48,8
53272602,37.5,4/8/18 9:43,2.23,8
53272628,75,4/8/18 9:45,4.73,8
53272883,11.51,4/8/18 9:43,1.4,8
53272900,75.5,4/8/18 9:39,5.03,8
53273479,70.15,4/8/18 10:24,4.92,4
53273629,32.8,4/8/18 10:32,1.98,3
53273680,65.6,4/8/18 10:44,4.55,8
53273805,74.7,4/8/18 10:46,6.72,22
53273940,107.5,4/8/18 10:58,6.58,8
53276751,32.9,4/8/18 14:01,1.81,8
53277898,37.5,4/8/18 15:15,2.67,8
53277923,103.5,4/8/18 15:06,6.52,8
53278295,70.5,4/8/18 15:35,4.82,8
53279726,141.3,4/8/18 17:39,9.79,8
53280104,224.1,4/8/18 17:15,14.72,8
53280205,37.35,4/8/18 17:20,2.66,8
53280427,57.98,4/8/18 17:33,5.22,8
53281571,98.4,4/8/18 18:44,5.93,8
53281812,103.3,4/8/18 18:57,7.16,8
53283250,14.39,4/8/18 20:34,2.13,8
53285640,59.98,4/8/18 22:31,5.4,8
53289660,30.47,4/14/18 17:26,3.96,22
53290736,59.98,4/9/18 3:34,3.24,8
53291297,113,4/9/18 4:36,6.31,8
53292837,196.8,4/9/18 6:24,12.58,8
53293308,24.89,4/9/18 7:00,0.87,4
53293637,88.98,4/9/18 7:31,4.89,8
53293943,70.4,4/12/18 6:13,4.82,8
53294598,37.35,4/9/18 8:27,2.25,8
53295264,75,4/9/18 9:22,5.33,8
53295517,37.35,4/9/18 9:31,2.22,8
53295659,66.5,4/9/18 9:43,5.99,22
53295971,37.35,4/9/18 9:57,2.49,8
53296641,65.6,4/9/18 10:39,4.25,8
53296774,65.6,4/9/18 10:48,3.6,8
53297615,222,4/9/18 11:35,15.38,8
53297664,37.5,4/9/18 13:01,2.67,8
53297850,102.95,4/9/18 11:53,5.65,8
53297985,37.5,4/9/18 11:59,2.13,8
53298205,37.5,4/9/18 12:12,2.19,16
53298721,74.7,4/9/18 12:51,4.1,8
53299634,15.35,4/9/18 13:32,2.13,8
53299665,23.02,4/9/18 14:22,2.8,8
53299791,37.5,4/17/18 7:46,2.63,8
53300004,238.7,4/9/18 14:05,15.68,8
53302199,74.7,4/9/18 15:56,5.31,8
53303152,37.5,4/9/18 17:07,2.06,8
53303249,19.99,4/10/18 7:43,2.6,8
53303680,65.6,4/9/18 17:19,3.84,8
53303710,150.5,4/9/18 17:24,9.89,8
53304163,103.3,4/9/18 17:47,5.58,8
53305483,186.75,4/9/18 18:37,12.44,8
53305615,32.9,4/9/18 18:46,1.81,8
53305843,112.05,4/9/18 18:58,10.08,22
53306584,37.5,4/9/18 19:53,2.46,8
53307604,103.2,4/9/18 20:11,6.87,8
53316240,37.35,4/10/18 6:21,2.62,8
53316277,32.8,4/10/18 5:42,1.77,8
53316522,70.15,4/10/18 6:03,4.48,8
53316547,32.8,4/10/18 6:05,1.77,8
53317085,32.9,4/10/18 6:49,2.28,8
53317807,244.2,4/10/18 7:42,13.19,8
53318168,1716,4/18/18 12:08,47.04,8
53318462,37.5,4/10/18 8:50,2.3,8
53318542,74.7,4/10/18 8:24,4.37,8
53319181,65.8,4/10/18 9:06,4.03,8
53319393,37.5,4/10/18 9:32,2.6,8
53320229,37.35,4/10/18 10:20,2.52,8
53320748,144.85,4/10/18 10:46,8.21,8
53322888,70.4,4/10/18 12:53,6.34,22
53323083,32.8,4/10/18 13:00,2.18,4
53323929,102.95,4/10/18 13:51,6.39,8
53324105,74.7,4/10/18 14:00,4.77,8
53324916,37.35,4/10/18 14:45,2.05,8
53324991,102.95,4/10/18 14:52,6.58,8
53325264,102.95,4/10/18 15:12,6.49,8
53325589,32.8,4/10/18 15:25,2.07,8
53326090,74.7,4/10/18 15:56,4.84,8
53326098,37.35,4/10/18 16:00,2.62,8
53326793,10.55,4/10/18 16:34,1.42,8
53327036,150.5,4/10/18 16:51,9.75,8
53327667,75,4/10/18 17:27,4.32,8
53329393,13.5,4/10/18 19:18,0.98,8
53330075,144.85,5/3/18 15:59,10.3,8
53331243,15,4/10/18 20:50,1.35,8
53332204,32.8,4/10/18 21:38,2.95,22
53341682,32.9,4/11/18 10:08,1.9,8
53342226,37.5,4/11/18 5:39,2.53,8
53342587,37.5,4/11/18 6:16,2.03,8
53342946,37.5,4/11/18 6:41,2.23,8
53342949,37.5,4/11/18 6:38,2.53,8
53343629,70.15,4/11/18 7:30,3.79,8
53344006,140.3,4/11/18 7:50,12.63,22
53344129,107.5,4/11/18 8:03,7.16,8
53345034,37.35,4/11/18 9:01,2.59,8
53345451,32.8,4/11/18 9:30,2.07,8
