id,user_id,paid_date,amount,type,subscription_term_length,state,is_first_payment,is_last_payment,free_trial,membership_level
2471477,32987861,6/18/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2471627,32350728,6/19/18,20,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Silver
2471635,32342987,6/19/18,20,MembershipPayment,1,refunded,TRUE,TRUE,FALSE,Silver
2471649,32985946,6/19/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2471872,12763899,6/19/18,20,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Silver
2472348,33018963,6/20/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2472585,33028645,6/20/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2472754,33023145,6/21/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2472781,18571293,6/21/18,140,MembershipPayment,12,refunded,TRUE,TRUE,FALSE,Silver
2473113,8857141,6/22/18,140,MembershipPayment,12,refunded,FALSE,TRUE,FALSE,Silver
2473157,30716800,6/22/18,20,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Silver
2473309,33060957,6/22/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2473498,18804579,6/23/18,140,MembershipPayment,12,complete,FALSE,TRUE,FALSE,Silver
2473566,33073902,6/23/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2473672,32928440,6/23/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2474667,33123743,6/26/18,140,MembershipPayment,12,refunded,TRUE,TRUE,FALSE,Silver
2474680,33125848,6/25/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2474703,21634133,6/26/18,20,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Silver
2474739,32435318,6/26/18,20,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Silver
2475154,32976674,6/26/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2475167,33146673,6/26/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2475368,33157320,6/27/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2475508,33133609,6/27/18,140,MembershipPayment,12,refunded,TRUE,TRUE,FALSE,Silver
2475532,33124898,6/27/18,140,MembershipPayment,12,refunded,TRUE,TRUE,FALSE,Silver
2475655,31515310,6/27/18,20,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Silver
2475723,22984415,6/28/18,140,MembershipPayment,12,refunded,FALSE,TRUE,FALSE,Silver
2475974,18617987,6/28/18,20,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Silver
2476037,33162102,6/28/18,140,MembershipPayment,12,refunded,TRUE,TRUE,FALSE,Silver
2476107,33187070,6/28/18,20,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Silver
2476120,28542934,6/28/18,20,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Silver
2476209,32501836,6/29/18,20,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Silver
2476271,33136797,6/29/18,140,MembershipPayment,12,refunded,TRUE,TRUE,FALSE,Silver
2476313,33197842,6/29/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2476557,33187140,6/29/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2476671,11741990,6/30/18,20,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Silver
