id,https://www.bonanza.com/booths/,booth_id,seller_id,featured_category_id,profit_estimate,value_em,created_at,first_sale,DaysToSale,Days as User,profit_per_day,orders,d_per_order,source_em,city,state,country,items_for_sale,view_count,offers,conversion_rate,membership_level,feedback,rate,rating
26479999,https://www.bonanza.com/booths/3636807,3636807,26479999,281,15.36,MINNOW,1/5/2009,2016-01-06,"2,557","3,634",$0.00,17,$0.90,4,Cary,NC,US,12,0,0,NAN,0,6.00,35%,5.00
7118059,https://www.bonanza.com/booths/1395097,1395097,7118059,267,-84.66,MINNOW,4/26/2016,2016-05-02,6,966,-$0.09,116,-$0.73,,Wesley Chapel,Florida,US,5109,370,1,0.27%,0,11.00,9%,4.64
8104993,https://www.bonanza.com/booths/2166791,1579913,8104993,11450,2708.85,DOLPHIN,5/24/2014,2014-06-01,11,"1,386",-$0.03,260,-$0.47,,St. Augustine,FL,US,22,908,7,0.00%,2,23.00,9%,4.30
18427460,https://www.bonanza.com/booths/2853255,2853255,18427460,26395,127.22,MINNOW,3/28/2016,2016-08-04,129,995,$0.13,43,$2.96,8,Ft MYERS,FL,US,750,330,1,0.30%,0,5.00,12%,5.00
7544763,https://www.bonanza.com/booths/1488839,1488839,7544763,15032,251.47,SEA_BASS,5/15/2016,2016-07-05,51,947,$0.27,214,$1.18,,Farmington hills,MI,US,297,197,2,1.02%,0,13.00,6%,4.69
18456483,https://www.bonanza.com/booths/2855602,2855602,18456483,0,631.21,SEA_BASS,3/4/2017,2017-03-07,3,654,$0.97,546,$1.16,0,Monona,iowa,US,18,3732,47,1.26%,0,15.00,3%,5.00
567228,https://www.bonanza.com/booths/117718,117718,567228,26395,138.06,MINNOW,9/6/2012,2012-09-10,4,"2,294",$0.06,123,$1.12,4,chino,California,US,134,132,0,0.00%,0,9.00,7%,4.56
32296028,https://www.bonanza.com/booths/4334918,4334918,32296028,11450,315.02,MINNOW,7/10/2013,2013-07-17,7,"1,987",$0.16,11,$28.64,0,Los Angeles,California,US,57,28,0,0.00%,2,2.00,18%,5.00
33263326,https://www.bonanza.com/booths/3454441,4427441,33263326,15032,29.44,MINNOW,7/2/2018,2018-08-13,42,169,$0.00,15,-$0.04,4,shenzhen,guangdong,CN,57,53,2,0.00%,0,1.00,6%,5.00
34773244,https://www.bonanza.com/booths/4573914,4573914,34773244,11450,10.54,MINNOW,7/10/2015,2015-07-16,6,"1,257",$0.01,3,$3.51,0,Harbor Springs,Michigan,US,230,71,0,0.00%,0,0.00,0%,NULL
