seller_id,user_name,profit_estimate,value_em,user_created,booth_created,days_as_user,first_sale,days_to_sale,country,state,city,committed,year_sales,year_amount,year_fvf,items_for_sale,sales,source_em,entry_source_em,inventory_source_em,entry_url,entry_query
20882801,justcaterpillar,-160,minnow,9/22/16,9/22/16,2.36,1/10/18,475,US,MI,Dearborn,FALSE,0,0,0,0,1,direct,,,,
20929329,buy_stuff_here,-5,minnow,9/26/16,9/26/16,2.35,4/21/17,207,US,KY,Lexington,FALSE,0,0,0,0,3,direct,,,,
21004165,icvkb101,1595,sea_bass,9/30/16,9/30/16,2.33,12/9/16,70,HK,,HongKong,TRUE,30,893.68,77.3,1299,129,other_search,,,,
21046930,ravelin,-7,minnow,10/3/16,10/4/16,2.32,,NaN,US,NY,Johnson City,TRUE,0,0,0,10,0,shopping,,ebay,,
21138048,hypermotorparts,1381,whale,10/8/16,3/24/17,1.85,4/13/17,20,US,NJ,Metuchen,TRUE,97,9199.41,713.25,5132,253,google_text_ad,,ebay,,
21195517,dandrikop,237,sea_bass,10/12/16,10/12/16,2.3,9/17/17,340,GR,,Athens,TRUE,137,3532.43,303.3,8223,139,organic,,csv,,
21201743,Godspeed_Motorsports,-1,minnow,10/12/16,2/2/18,0.99,,NaN,US,NC,Wilmington,TRUE,0,0,0,33,0,organic,,ebay,,
21229051,chen_zezhan,4,minnow,10/13/16,10/13/16,2.3,12/26/16,74,CN,,shanwei,FALSE,0,0,0,0,3,direct,,,,
21286563,VortexDirect,590,dolphin,10/17/16,10/17/16,2.29,12/12/16,56,US,Al,FLORENCE,TRUE,13,1687.46,218.06,436,48,other,,ebay,,
21295321,Luxury_Trims,283,minnow,10/17/16,10/17/16,2.29,11/11/16,25,US,NY,Lynbrook,TRUE,30,4171.34,305.32,548,55,direct,,ebay,,
21332511,paragon_auto,469,sea_bass,10/19/16,10/19/16,2.28,11/3/16,15,US,NV,Las Vegas,TRUE,14,998.21,101.05,208,85,other_search,,ebay,,
21345494,Treadwright,1165,dolphin,10/20/16,10/20/16,2.28,11/14/16,25,US,TX,Houston,TRUE,18,9186.54,302.65,77,39,organic,,ebay,,
21353998,Maximum_Suspension,197,minnow,10/21/16,10/21/16,2.28,11/4/16,14,CA,,Mississauga,FALSE,0,0,0,0,17,organic,,,,
21361000,Ryse_Inc,17,minnow,10/21/16,10/21/16,2.28,11/10/16,20,US,ID,Meridian,TRUE,22,762.74,84.45,492,72,direct,,ebay,,
21370187,amazonprotection,-35,minnow,10/22/16,10/22/16,2.27,11/5/16,14,ID,,surabaya,FALSE,1,602.98,151.39,0,6,direct,,ebay,,
21414467,AutoAccessories4Less,132,minnow,10/24/16,10/24/16,2.27,11/28/16,35,US,MI,Saint Joseph,TRUE,10,768,62.82,620,29,organic,,ebay,,
21482086,hubcapjoes,0,minnow,10/28/16,10/28/16,2.26,,NaN,US,NJ,Oradell,TRUE,0,0,0,1551,0,direct,,ebay,,
21549291,OBD2_UK,138,dolphin,11/2/16,11/2/16,2.24,11/23/16,21,GB,,Whitley Bay,TRUE,4,3034.44,290.97,106,8,direct,,ebay,,
21555759,impatientautoparts,29,minnow,11/2/16,11/2/16,2.24,3/6/17,124,US,AL,Alabaster,TRUE,4,188.47,17.18,57,7,direct,,ebay,,
21583978,kibo13,69,minnow,11/4/16,11/4/16,2.24,3/2/17,118,US,MA,Dracut,TRUE,7,1131.43,78.69,0,12,shopping,,ebay,,
21634133,SpoilerNation,408,minnow,11/7/16,11/7/16,2.23,11/15/17,373,US,FL,Ft. Lauderdale,TRUE,1,363.31,63.53,329,2,organic,,ebay,,
21766508,Seabreezeautoparts,336,whale,11/15/16,11/15/16,2.21,11/22/16,7,US,FL,Cocoa,TRUE,10,532.95,33.48,41752,159,direct,,ebay,,
21791768,winobgus,-25,minnow,11/16/16,11/16/16,2.21,5/6/18,536,ID,,Malang,FALSE,3,1050,94.5,0,3,direct,,,,
22049496,mag_marketplace,85,dolphin,11/30/16,11/30/16,2.17,2/18/17,80,US,DE,Bear,TRUE,16,703.03,52.57,366,42,direct,,,,
22059625,hidconcept,155,dolphin,11/30/16,11/30/16,2.17,12/7/16,7,US,IL,Morton Grove,TRUE,42,3244.95,240.12,396,65,shopping,,ebay,,
22068784,MODULEREPAIRPRO,8112,whale,12/1/16,12/1/16,2.16,12/7/16,6,US,CA,Van Nuys,TRUE,302,52444.08,3428.73,300,764,shopping,,,,
22074643,NewAge_TruckParts,350,dolphin,12/1/16,12/1/16,2.16,12/31/16,30,US,IA,Bettendorf,TRUE,18,4386.69,131.12,466,48,google_text_ad,,ebay,,
22089803,trinity_sunshades,92,minnow,12/2/16,12/2/16,2.16,6/13/17,193,US,GA,Dallas,TRUE,5,250.4,22.54,4317,8,direct,,api,,
22345598,djw0324,0,minnow,12/14/16,12/14/16,2.13,,NaN,US,TX,Wichita Falls,FALSE,0,0,0,0,0,organic,,ebay,,
22369105,RV_Parts_Pro,311,minnow,12/15/16,12/19/16,2.12,5/27/18,524,US,IN,Elkhart,FALSE,9,3187.23,341.35,0,9,shopping,,,,
22408225,Japan_provider,122,dolphin,12/17/16,12/17/16,2.12,1/21/17,35,JP,,Kawasaki-shi,TRUE,9,1702.79,49.33,31418,66,search_seller_targeted,,ebay,,
22463766,gavin1254,-4,minnow,12/20/16,12/20/16,2.11,4/11/17,112,CN,,linyi,TRUE,3,347.61,10.39,58,12,direct,,ebay,,
22473671,Szomi,44,minnow,12/20/16,12/21/16,2.11,1/30/17,40,HU,,Szeged,TRUE,35,590,52.5,59,50,direct,,,,
22488614,Dougsstore,-15,minnow,12/21/16,12/21/16,2.11,1/6/17,16,US,FL,Palm Bay,FALSE,20,663.36,32.59,0,49,google_text_ad,,amazon,,
22516513,Megaautoparts,16367,whale,12/22/16,12/22/16,2.11,12/26/16,4,US,CA,La Mirada,TRUE,42,17677.43,1250.85,39128,825,organic,,ebay,,
22521187,mobilexpress05,157,minnow,12/23/16,12/23/16,2.1,1/17/17,25,US,NJ,Trenton,TRUE,6,353.18,33.32,179,45,direct,,ebay,,
22646011,HubcapMan,-18,minnow,12/30/16,12/30/16,2.08,2/25/17,57,US,WI,Wauwatosa,TRUE,2,40.84,3.13,42,5,organic,,,,
22939805,Coldzone,1951,dolphin,1/15/17,1/15/17,2.04,1/21/17,6,US,KS,Lawrence,TRUE,115,6308.45,793.95,857,296,google_text_ad,,,,
23014142,Valdis,173,minnow,1/19/17,1/19/17,2.03,1/24/17,5,LV,,Rezekne,TRUE,10,216.14,38.19,42,23,,,,,
23061647,atvpartsunlimited,-799,dolphin,1/21/17,1/21/17,2.02,2/17/17,27,US,OH,Minford,FALSE,54,1561.33,130.03,0,128,direct,,ebay,,
23123062,PeterD501,6,minnow,1/24/17,1/24/17,2.02,4/26/17,92,US,NM,Albuquerque,TRUE,5,94.9,6.41,30,6,,,ebay,,
23148429,Tim1111,618,minnow,1/25/17,1/25/17,2.01,4/22/17,87,US,AL,Somerville,TRUE,4,607.75,52.36,18,14,,,ebay,,
23160857,TomsForeign,4390,whale,1/26/17,1/26/17,2.01,1/28/17,2,US,CT,Waterbury,TRUE,88,10702.69,643.41,40327,293,,,ebay,,
23165801,Ifixitzone,6915,whale,1/26/17,1/26/17,2.01,1/27/17,1,US,CA,temple city,TRUE,8,3409.32,130.42,19259,405,direct,,ebay,,
23178689,KCHOMETRAILERCOINC,1482,dolphin,1/27/17,1/27/17,2.01,2/5/17,9,US,KS,Kansas City,TRUE,51,17460.33,1052.42,270,108,direct,,ebay,,
23215191,american_legend,1,minnow,1/29/17,1/29/17,2,12/31/17,336,US,KY,Lexington,FALSE,1,12.5,0.5,0,2,,,ebay,,
23219733,Ultraservice,-5,minnow,1/29/17,1/29/17,2,6/19/17,141,US,FL,Brandon,TRUE,0,0,0,45,1,,,ebay,,
23252107,TrailerDepot,-36,minnow,1/31/17,1/31/17,2,7/20/17,170,US,FL,Sarasota,FALSE,0,0,0,0,1,,,,,
23310251,INCreation,23,minnow,2/3/17,2/3/17,1.99,3/21/17,46,US,VA,Virginia Beach,TRUE,8,231.63,19.89,0,23,organic,,ebay,,
23345904,bunnygaga,309,sea_bass,2/4/17,2/4/17,1.99,3/5/17,29,CN,,Guangzhou,TRUE,4,58.03,2.09,19,94,,,ebay,,
23366117,tbm13,0,minnow,2/6/17,2/6/17,1.98,,NaN,US,PA,Newmanstown,FALSE,0,0,0,0,0,bing,,,,
23400595,WilliamsGlobal,57,sea_bass,2/7/17,2/7/17,1.98,10/3/17,238,US,FL,Miami,FALSE,2,34.28,8.03,0,10,organic,,,,
23422256,Ipexmotoring,12936,whale,2/8/17,2/8/17,1.98,2/9/17,1,US,CA,Walnut,FALSE,53,9848.09,721.31,0,1070,direct,,ebay,,
23428653,oemusedautoparts,2366,whale,2/8/17,2/8/17,1.98,2/14/17,6,US,IL,Frankfort,TRUE,154,8120.18,920.74,41404,443,bing,,ebay,,
23527266,suspensionpartsware,1810,dolphin,2/13/17,2/13/17,1.96,2/23/17,10,US,FL,Healeah,TRUE,30,7138.03,805.33,1858,72,organic,,ebay,,
23557585,importantoutlet,65,sea_bass,2/15/17,2/15/17,1.96,4/16/17,60,HK,,cheung sha wan,TRUE,82,987.36,65.94,489,106,,,ebay,,
23608041,Spartanauto,30,minnow,2/17/17,2/17/17,1.95,4/5/17,47,US,CA,Orange,TRUE,1,8.99,1.71,21,3,,,ebay,,
23617583,mightymite,551,dolphin,2/17/17,2/17/17,1.95,3/8/17,19,CA,,pritchard,TRUE,41,3592.18,447.9,9796,134,direct,,ebay,,
23633056,Motorcycle_Dot,242,dolphin,2/18/17,2/18/17,1.95,2/23/17,5,US,CA,San Juan Capistrano,TRUE,87,7227.5,921.99,13471,149,email,,ebay,,
23686643,alohatrading,154,dolphin,2/21/17,2/21/17,1.94,2/22/17,1,US,CA,Santa Barbara,TRUE,18,1901.73,129.33,1696,43,,,ebay,,
23748307,auptech,-31,minnow,2/24/17,2/24/17,1.93,5/13/17,78,CN,,Chengdu,TRUE,3,323.95,29.16,639,11,,,amazon,,
23831799,blacktopautoparts,3321,whale,2/28/17,3/8/17,1.9,3/28/17,20,US,IL,Oak Forest,TRUE,214,11787.54,1363.79,4284,383,email,,ebay,,
23912605,THE_GOLDEN_SPOKES,74,dolphin,3/4/17,3/4/17,1.91,4/30/17,57,VN,,vung tau,FALSE,16,694.12,70.84,0,49,organic,,,,
23943352,H_Autoparts,865,dolphin,3/5/17,3/5/17,1.91,4/8/17,34,US,MA,Westford,TRUE,71,6089.93,428.87,298,205,direct,,ebay,,
24009594,Gillett_Diesel,149,minnow,3/8/17,3/15/17,1.88,5/18/17,64,US,UT,Bluffdale,TRUE,15,4207.42,274.75,212,27,direct,,amazon,,
24023779,Stayzoko_Inc,190,dolphin,3/9/17,3/9/17,1.9,3/18/17,9,US,NY,BROOKLYN,TRUE,11,1964.8,128.52,565,21,direct,,ebay,,
24024943,shopvinyldesign,8,minnow,3/9/17,3/9/17,1.9,6/6/17,89,US,FL,Ocoee,TRUE,10,201.21,11.35,44,11,email,,ebay,,
24029440,wholesaletireexpress,1612,dolphin,3/9/17,3/9/17,1.9,4/15/17,37,US,PA,Bensalem,TRUE,21,4318.17,300.39,178,68,google_text_ad,,ebay,,
24145172,ACClutches,851,minnow,3/15/17,3/15/17,1.88,11/7/17,237,US,TN,Dresden,TRUE,2,67.14,7.6,16,3,direct,,,,
24180525,High_quality_battery,1036,sea_bass,3/16/17,3/16/17,1.88,3/24/17,8,CN,,yichun,TRUE,81,4823.36,339.95,72609,123,,,,,
24233194,royalexhausts,1866,dolphin,3/19/17,3/19/17,1.87,7/14/17,117,CA,,Scarborough,TRUE,90,19817.85,2074.81,2435,125,organic,,ebay,,
24256995,the_rainmakers,14,minnow,3/20/17,3/20/17,1.87,4/11/17,22,CN,,Foshan,TRUE,2,157.09,13.09,784,7,,,ebay,,
24271802,Aloha_Auto_Parts,89,minnow,3/21/17,3/21/17,1.86,4/24/17,34,US,CA,Santa Barbara,TRUE,5,276.48,11.79,639,19,email,,ebay,,
24297345,mstrongz,5,minnow,3/22/17,3/22/17,1.86,5/3/17,42,CZ,,Mlada Boleslav,FALSE,6,277.99,5.94,0,11,affiliate,,ebay,,
24324424,handmadehcm,0,minnow,3/23/17,3/23/17,1.86,,NaN,VN,,Quan 9,FALSE,0,0,0,0,0,affiliate,,,,
24332516,SnorakeS,307,minnow,3/24/17,3/24/17,1.85,4/2/17,9,US,FL,BROOKSVILLE,FALSE,4,166.48,9.06,0,22,shopping,,,,
24347020,importedgoods956,1024,dolphin,3/25/17,3/25/17,1.85,4/4/17,10,US,TX,Roma,TRUE,21,1241.87,146.48,0,133,organic,,,,
24366132,FloridaLED,30,minnow,3/26/17,3/26/17,1.85,5/19/17,54,US,FL,Grant,TRUE,6,94.35,16.8,35,16,bing,,ebay,,
24450875,Luckystar888,9,minnow,3/30/17,3/30/17,1.84,5/7/17,38,CN,,Shanghai,TRUE,3,56.17,4.88,458,7,direct,,,,
24454690,desko,87,minnow,3/30/17,3/30/17,1.84,8/23/17,146,CA,,Laval,TRUE,0,0,0,12,2,direct,,ebay,,
24459483,MotorsportsParts,1089,minnow,3/30/17,3/30/17,1.84,4/18/17,19,US,TX,Dallas,FALSE,2,821.31,51.08,0,19,organic,,ebay,,
24488217,xautowheels,744,dolphin,3/31/17,11/11/17,1.22,11/26/17,15,US,CA,Anaheim,FALSE,11,393.29,49.47,0,19,direct,,ebay,,
24496804,ebulakites,52,minnow,4/1/17,4/1/17,1.83,5/5/17,34,US,PA,Harrisburg,TRUE,3,93.75,9.86,0,26,shopping,,amazon,,
24538778,MilanK5,11,minnow,4/3/17,1/15/18,1.04,2/2/18,18,RS,,Belgrade,TRUE,8,225,15.2,534,8,direct,,,,
24762700,motodocparts,3154,whale,4/14/17,4/14/17,1.8,4/17/17,3,US,FL,Ormond Beach,FALSE,119,8953.92,1580.38,0,281,direct,,ebay,,
24789711,MarkG1046,135,minnow,4/15/17,4/15/17,1.79,6/16/17,62,US,FL,Melbourne,TRUE,7,878.08,63.43,12,16,shopping,,ebay,,
24809856,ReRev_Cycles,17,minnow,4/16/17,4/16/17,1.79,5/5/17,19,US,MD,Leonardtown,FALSE,0,0,0,0,6,organic,,,,
24825508,BryanY14,0,minnow,4/17/17,6/20/18,0.61,,NaN,CA,,Hudson Bay,FALSE,0,0,0,0,0,email,,ebay,,
24907146,NBRautoparts,275,minnow,4/21/17,4/21/17,1.78,7/2/17,72,US,CA,Victorville,FALSE,0,0,0,0,6,affiliate,,,,
24919791,Kricket2,56,minnow,4/22/17,4/22/17,1.78,5/4/17,12,US,AR,MENA,TRUE,31,537.94,37.61,307,58,google_text_ad,,ebay,,
24976403,bonzuser_Restparts1,1420,dolphin,4/25/17,4/25/17,1.77,5/5/17,10,US,CA,Long Beach,TRUE,59,8862.75,511.14,3032,112,shopping,,,,
24985523,discountautopart1,841,whale,4/25/17,4/25/17,1.77,5/15/17,20,US,NY,deerpark,FALSE,55,3596.61,312.97,0,95,organic,,ebay,,
25019564,lodake,-10,dolphin,4/27/17,4/27/17,1.76,5/8/17,11,US,UT,Monticello,FALSE,1,238.88,45.39,0,6,email,,ebay,,
25132072,HayesRacingMCATV,0,minnow,5/3/17,5/3/17,1.75,,NaN,US,MD,Waldorf,TRUE,0,0,0,38,0,direct,,api,,
25222703,DavidL1560,496,minnow,5/8/17,5/8/17,1.73,6/21/17,44,US,FL,Altamonte Springs,TRUE,13,4664.17,672.19,721,15,shopping,,ebay,,
25276792,PROdecals574,-9,minnow,5/11/17,5/11/17,1.72,8/26/17,107,US,NJ,Rutherford,FALSE,2,606,122.62,0,3,organic,,,,
25293402,siberian_bushing,15,minnow,5/11/17,5/11/17,1.72,5/27/17,16,RU,,Vladivostok,TRUE,0,0,0,0,6,direct,,ebay,,
25360366,StoAuto,2778,dolphin,5/15/17,5/15/17,1.71,6/7/17,23,US,CA,Sacramento,TRUE,366,28398.59,2502.83,1135,612,direct,,ebay,,
25383503,CS5,759,dolphin,5/16/17,5/16/17,1.71,6/1/17,16,US,FL,MIAMI,TRUE,61,9125.25,804.99,447,91,affiliate,,ebay,,
25389320,TamerxP,2956,dolphin,5/16/17,5/16/17,1.71,5/26/17,10,US,SC,Hemingway,TRUE,42,15018.31,783.93,161,99,direct,,ebay,,
25421358,Spirit_gear,-6,minnow,5/18/17,5/18/17,1.7,,NaN,US,KY,Bowling green,FALSE,0,0,0,0,0,affiliate,,,,
25422552,Street_Dirt_Track,996,dolphin,5/18/17,5/18/17,1.7,2/3/18,261,US,CA,Upland,TRUE,100,5934.98,1456.37,287,100,organic,,ebay,,
25527438,MichaelS2806,-1,minnow,5/23/17,5/23/17,1.69,,NaN,US,NV,Elko,FALSE,0,0,0,0,0,direct,,,,
25539141,maxspeedtuning,1621,dolphin,5/24/17,5/24/17,1.69,6/14/17,21,US,CA,Walnut,TRUE,27,12024.2,888.19,1155,117,organic,,ebay,,
25539955,Harleystrippers,2369,dolphin,5/24/17,5/24/17,1.69,6/1/17,8,US,FL,West Melbourne,TRUE,163,20493.34,1512.05,13604,265,organic,,ebay,,
25540562,DJ_WORLD_TRADING,0,minnow,5/24/17,5/24/17,1.69,,NaN,US,CA,Templeton,TRUE,0,0,0,55,0,organic,,,,
25552747,robmikcas,0,minnow,5/25/17,5/25/17,1.68,,NaN,US,FL,North port,FALSE,0,0,0,0,0,google_text_ad,,,,
25579147,TMelsAutoCare,55,minnow,5/26/17,5/26/17,1.68,6/18/17,23,US,LA,Rayne,TRUE,0,0,0,12,6,google_text_ad,,,,
25623282,Allstate_Gear,593,dolphin,5/28/17,5/28/17,1.68,6/6/17,9,US,TX,San Antonio,TRUE,1,53.51,1.87,335,8,shopping,,ebay,,
25631905,MUNDOLATINOS,40,minnow,5/29/17,5/29/17,1.67,9/23/17,117,US,FL,ORLANDO,TRUE,16,456.83,40.87,40,21,direct,,ebay,,
25675316,srtsales,0,minnow,5/31/17,5/31/17,1.67,,NaN,US,ID,Kendrick,FALSE,0,0,0,0,0,search_seller_targeted,,,,
25696083,theshiznick,22,minnow,6/1/17,6/1/17,1.67,6/7/17,6,US,GA,Valdosta,TRUE,9,77.3,13.55,236,19,direct,,,,
25698129,powertuneguys,0,minnow,6/1/17,6/1/17,1.67,,NaN,US,NC,Moyock,FALSE,0,0,0,0,0,direct,,,,
25747735,therhinosource,69,dolphin,6/4/17,6/4/17,1.66,6/18/17,14,US,FL,Clearwater,TRUE,24,1758.06,80.78,1230,36,google_text_ad,,ebay,,
25749904,Vapeplanet,275,dolphin,6/4/17,6/4/17,1.66,7/22/17,48,US,GA,Duluth,TRUE,204,4946.45,368.66,24,266,organic,,ebay,,
25812115,houseofgrafx_com,367,dolphin,6/7/17,6/7/17,1.65,6/12/17,5,US,NY,Monticello,TRUE,127,5614.67,495.39,586,213,google_text_ad,,ebay,,
25868102,NorthernPI,0,minnow,6/10/17,6/10/17,1.64,,NaN,CA,,Sherwood Park,FALSE,0,0,0,0,0,google_text_ad,,ebay,,
25932264,AutoCareGuys,212,minnow,6/13/17,6/13/17,1.63,6/28/17,15,US,CA,Anaheim Hills,TRUE,5,631.95,88.39,0,13,organic,,,,
25972734,SoCalSellersUSA,55,minnow,6/15/17,9/23/17,1.35,2/14/18,144,US,CA,Santa Ana,TRUE,42,1249.19,109.06,13,42,direct,,,,
25982058,BAM_Manufacturing,565,dolphin,6/16/17,6/16/17,1.62,6/27/17,11,US,KS,Peck,TRUE,19,2912.32,95.66,2809,33,shopping,,ebay,,
26014995,nicholstrading,0,minnow,6/18/17,6/18/17,1.62,,NaN,US,TN,Nashville,FALSE,0,0,0,0,0,google_text_ad,,ebay,,
26018876,Cat_Scooter_Parts,7,minnow,6/18/17,6/18/17,1.62,9/15/17,89,US,WV,Cairo,TRUE,5,97.34,5.92,147,9,organic,,ebay,,
26062720,Leupp1,-1,minnow,6/20/17,6/20/17,1.61,,NaN,US,AR,Flagstaff,FALSE,0,0,0,0,0,google_text_ad,,ebay,,
26108518,ROANOKE,835,dolphin,6/23/17,6/23/17,1.61,7/3/17,10,US,VA,Roanoke,TRUE,7,872.06,65.43,458,30,shopping,,ebay,,
26121069,graphicmx,0,minnow,6/23/17,6/23/17,1.61,,NaN,US,PA,BUTLER,FALSE,0,0,0,0,0,google_text_ad,,,,
26169644,Carbonbike,2,minnow,6/26/17,6/26/17,1.6,11/11/17,138,US,NY,Brooklyn,TRUE,1,19,1.71,28,2,direct,,,,
26179996,fordcountry,-2,dolphin,6/26/17,6/26/17,1.6,10/27/17,123,US,MI,Dearborn,FALSE,2,542.52,33.01,0,6,direct,,,,
26196733,SplattDatt,-1,minnow,6/27/17,10/15/17,1.29,,NaN,US,TN,Jefferson City,TRUE,0,0,0,0,0,direct,,,,
26221021,kyle_shofner,7,minnow,6/29/17,6/29/17,1.59,12/21/17,175,US,NC,Catawba,FALSE,1,37.71,3.39,0,2,shopping,,,,
26245036,Commercial_Sales,41,dolphin,6/30/17,6/30/17,1.59,1/15/18,199,US,WA,Fife,TRUE,0,0,0,351,1,organic,,ebay,,
26272126,bonzuser_ISparts,701,dolphin,7/2/17,7/2/17,1.58,7/5/17,3,US,DE,Wilmington,TRUE,197,5663.38,627.49,27206,282,organic,3,ebay,https://www.bonanza.com/users/26272126/offers/sales,
26304974,dmauffray,-12,minnow,7/3/17,7/17/17,1.54,12/1/17,137,US,MS,Vancleave,FALSE,0,0,0,0,1,shopping,,ebay,,
26306625,yhp2017,146,dolphin,7/4/17,7/4/17,1.58,7/6/17,2,US,NJ,Marlton,FALSE,6,180.13,16.23,0,62,google_text_ad,,ebay,,
26327391,Zakkout,0,minnow,7/5/17,7/5/17,1.57,,NaN,US,VA,Roanoke,FALSE,0,0,0,0,0,direct,,,,
26333381,MAXWELL_1940,387,dolphin,7/5/17,7/5/17,1.57,7/10/17,5,US,FL,MILTON,TRUE,121,8397.21,685.84,105,133,direct,,ebay,,
26395684,PetesGolfCarts2017,3893,whale,7/9/17,7/9/17,1.56,7/14/17,5,US,FL,Port Saint Lucie,TRUE,220,42305.17,2678.96,501,291,direct,,ebay,,
26409070,GLC_Accessories,250,minnow,7/9/17,7/9/17,1.56,8/31/17,53,US,CA,huntington beach,TRUE,10,1368.74,149.53,75,12,direct,,,,
26438509,MATPUSA,281,dolphin,7/11/17,7/11/17,1.56,8/19/17,39,US,TN,Rockwood,TRUE,0,0,0,211,6,google_text_ad,,ebay,,
26458027,YellowCrayon,-1,minnow,7/12/17,7/12/17,1.55,12/4/17,145,CA,,Vancouver,FALSE,1,6.99,0.5,0,2,direct,,,,
26458455,EsellSimple,1914,dolphin,7/12/17,7/12/17,1.55,7/15/17,3,US,OK,OKLAHOMA CITY,TRUE,172,15527.95,1339.82,3527,245,organic,,ebay,,
26481694,ssmarinecenter,97,minnow,7/13/17,7/13/17,1.55,7/18/17,5,US,AZ,Bullhead City,TRUE,36,1511.71,90.69,877,50,affiliate,,ebay,,
26483138,Two_Wheel_Style,11,minnow,7/13/17,7/13/17,1.55,11/11/17,121,US,CA,Concord,TRUE,3,423.16,19.8,896,6,direct,,,,
26492070,NanoBaltic,238,minnow,7/14/17,7/14/17,1.55,7/26/17,12,LT,,Siauliai,FALSE,15,952.96,57.64,0,22,organic,,ebay,,
26506871,usjdmhondaacura,147,dolphin,7/14/17,7/14/17,1.55,7/20/17,6,US,CA,Lakewood,TRUE,16,1074.58,121.58,1063,41,direct,,ebay,,
26511587,Duka,112,dolphin,7/15/17,7/15/17,1.55,10/18/17,95,US,FL,CLEARWATER,TRUE,9,2498.82,185.62,179,10,direct,,ebay,,
26516558,pushvinyl,2,minnow,7/15/17,7/15/17,1.55,2/25/18,225,US,CA,Fairfield,FALSE,4,56.52,8.66,0,4,direct,,ebay,,
26545100,surplus_garage,102,minnow,7/17/17,7/17/17,1.54,7/28/17,11,US,NY,Bloomingburg,FALSE,11,2511.88,156.82,0,19,organic,,ebay,,
26571993,MjK4,0,minnow,7/18/17,7/18/17,1.54,,NaN,US,TX,Austin,FALSE,0,0,0,0,0,email,,,,
26589256,Silver_Cord_Designs,-1,minnow,7/19/17,7/19/17,1.53,,NaN,US,Az,Tempe,FALSE,0,0,0,0,0,google_text_ad,,,,
26625146,Seasons_Tires,140,minnow,7/21/17,7/21/17,1.53,,NaN,US,MO,Bernie,FALSE,0,0,0,0,0,direct,,,,
26653277,iotsales,-1,minnow,7/23/17,7/23/17,1.52,,NaN,US,NJ,Weehawken,FALSE,0,0,0,0,0,direct,,,,
26722352,bbickhardt,4,minnow,7/27/17,7/27/17,1.51,12/8/17,134,US,FL,Spring Hill,TRUE,0,0,0,18,2,direct,,ebay,,
26741781,MarineNow,1113,dolphin,7/28/17,7/28/17,1.51,8/1/17,4,US,IL,Oak Brook,TRUE,55,11698.6,439.47,741,79,direct,,ebay,,
26768547,Lazcast17,0,minnow,7/29/17,7/29/17,1.51,,NaN,US,FL,Miami Gardens,FALSE,0,0,0,0,0,organic,,,,
26804585,JennyB321,0,minnow,7/31/17,7/31/17,1.5,,NaN,US,FL,Mukberry,FALSE,0,0,0,0,0,google_text_ad,,,,
26819186,carcapsnet,0,minnow,8/1/17,8/1/17,1.5,2/7/18,190,US,CA,SANTA PAULA,TRUE,2,47.38,1.66,0,2,organic,,,,
26847058,Twiga1,554,dolphin,8/2/17,8/2/17,1.5,8/9/17,7,US,FL,clearwater,TRUE,22,4528.63,250.12,810,48,email,,ebay,,
26854406,Tyrellv07,4,minnow,8/2/17,8/2/17,1.5,3/24/18,234,US,UT,Layton,FALSE,1,63,4.77,0,1,shopping,,ebay,,
26858789,Five_Stars_Store,-3,minnow,8/3/17,8/3/17,1.49,,NaN,US,FL,Jacksonville,FALSE,0,0,0,0,0,shopping,,,,
26860549,Legaparts,8202,whale,8/3/17,8/3/17,1.49,8/14/17,11,US,TX,Houston,TRUE,568,47153.8,5863.79,38,656,google_text_ad,6,ebay,Direct,ebay like stores
26900580,gtmar,0,minnow,8/5/17,8/5/17,1.49,,NaN,US,MO,St. Louis,FALSE,0,0,0,0,0,direct,,,,
26916038,Miller_ATV_and_Cycle,-132,minnow,8/6/17,8/6/17,1.48,11/3/17,89,US,VA,Lebanon Church,TRUE,14,1544.82,107.32,1527,16,organic,,ebay,,
26942119,Marc_partz,7314,whale,8/7/17,8/7/17,1.48,8/11/17,4,US,FL,Treasure island,TRUE,811,155421.59,4560.3,730,953,direct,,ebay,,
26959084,Jackson_Auto,199,dolphin,8/8/17,8/8/17,1.48,8/28/17,20,US,NC,Southport,TRUE,10,948.9,71.07,996,21,affiliate,,ebay,,
26975443,juniq,16,minnow,8/9/17,8/9/17,1.48,8/17/17,8,US,AZ,Scottsdale,FALSE,2,167.82,13.76,0,7,shopping,,,,
27012392,sirleon,0,minnow,8/11/17,8/11/17,1.47,,NaN,US,CT,Cheshire,FALSE,0,0,0,0,0,direct,,,,
27026296,Car_Interior,851,dolphin,8/12/17,8/12/17,1.47,9/8/17,27,RU,,Kostroma,TRUE,149,6705.7,972.43,154,183,other,,,,
27031654,allownersmanuals,-1,minnow,8/12/17,8/12/17,1.47,8/25/17,13,CA,,Trois-Rivieres,FALSE,2,42.78,2.8,0,3,organic,,,,
27081735,Headlight_Controls,15,minnow,8/15/17,8/15/17,1.46,3/29/18,226,SK,,banovce nad bebravou,TRUE,5,1098.52,20.5,321,5,direct,,ebay,,
27150662,onlineparts,-3074,minnow,8/18/17,8/18/17,1.45,9/16/17,29,US,CA,Anaheim,TRUE,21,5058.48,322.95,1489,24,direct,,ebay,,
27181386,parts1,500,dolphin,8/20/17,12/14/17,1.13,12/21/17,7,US,OH,CINCINNATI,TRUE,166,8322.89,620.64,2590,178,organic,,ebay,,
