seller_id,entry_source_em,profit_estimate,value_em,fees_paid,membership_paid
17195999,,-0.33,0,9.17,0
18094032,,0,0,0,0
18179598,,-55.16,2,23.4,0
18233999,5,0,0,0,0
18241044,,0,0,0,0
18339240,16,-0.18,0,0,0
18350836,0,-2.19,0,0,0
18377285,3,-0.19,0,0,0
18450098,3,0,0,0,0
18460851,5,294.35,0,7.12,290
33442707,6,446.49,1,273.86,160
18555399,22,0,0,0,0
18579626,,2.87,0,3.95,0
18601819,,43.55,2,38.12,0
18615594,,0,0,0,0
18619867,,-22.86,0,0,0
18687300,0,25.67,1,7.2,20
30420644,6,440.21,0,63.32,400
18807207,-1,0.92,0,0,0
18824723,,0,0,0,0
18880961,,15.5,0,23.06,0
33290939,6,413.41,0,41.42,400
19216726,-1,0,0,0,0
19318063,,18.74,0,60.29,0
19344859,,0,0,0,0
19348103,,61.42,1,229.86,0
19418602,1,-0.82,0,0,0
19434083,16,-0.45,0,0,0
19492920,3,8.56,0,10.86,0
19545482,,-1.99,0,0,0
19597783,,21.24,0,27.28,0
19901581,,1.72,0,0,0
19939612,,0,0,0,0
20025342,3,279.98,0,0,280
20073702,,-0.62,0,0,0
20235636,,-0.2,0,0,0
20292186,,-8.14,0,0,0
20412556,-1,-0.26,0,0,0
20457346,,0,0,0,0
20543826,8,0,0,0,0
20552115,,419.17,0,23.28,400
33973734,6,403.56,2,453.69,40
20681322,,353.54,2,304.93,70
20705740,0,0,0,0,0
20784441,,0,0,0,0
20822290,4,-2.35,0,0,0
20983726,,2.04,0,3.91,0
21062748,,1.46,2,0,0
33732109,6,402.73,2,292.62,200
21137984,,38.95,0,45.62,0
21201743,,-1.04,0,0,0
21253323,-1,0,0,0,0
34277351,6,402.49,1,145.02,300
21315174,4,30.48,1,99.63,0
21319180,,0,0,0,0
21434090,8,0,0,0,0
21445992,,0,0,0,0
21535809,8,-5.83,0,0,0
21657923,,360.81,1,183.94,290
21888022,,0,0,0,0
21891148,0,0,0,0,0
21966152,,8.7,0,10.17,0
21972159,,-0.09,0,0,0
33946310,6,402.02,1,170.87,290
22082365,8,-23.99,0,0,0
22284469,-1,1902.74,2,1488.76,2595
22415756,0,0,0,0,0
22528747,2,17.92,0,12.02,0
32094834,6,401.49,2,377.98,140
22608215,8,0,0,0,0
22637080,-1,0,0,0,0
22644490,,32.66,0,48.51,0
22666872,0,19.83,0,3.2,20
22716848,7,0,0,0,0
22768438,0,0,0,0,0
22841581,0,13.9,0,22.1,0
22865213,0,0,0,0,0
33783598,6,390.36,2,570.07,0
23039534,,11.3,0,9.9,0
23212558,0,0,0,0,0
23370478,3,7.14,0,10.25,0
23465658,7,7.82,0,7.82,0
23490830,,0,0,0,0
23513526,,-0.65,0,7.04,0
23566039,,47.76,0,48.77,0
23628938,0,0,0,0,0
23817626,,-0.15,0,0,0
23837413,,0,0,0,0
23855216,,0,0,0,0
23885541,7,40,0,0,40
23935564,0,0,0,0,0
24081642,,0,0,0,0
24147857,,39.87,0,0,40
24233878,,0,0,0,0
24250968,,104.68,0,119.47,40
24372990,,0,0,0,0
24380510,8,0,0,0,0
24388380,8,3.28,0,3.6,0
24459990,,7.56,0,21.6,0
24501237,,40,0,0,40
24519123,5,0,0,0,0
24538272,,208.56,0,34.67,216
34064938,6,371.39,0,83.31,290
24592724,,4.43,0,3.36,0
34001967,6,352.73,1,218.05,290
24683547,8,-1.27,0,0,0
24686542,8,0,0,0,0
24751498,7,13.9,0,20.7,0
24772687,8,-0.01,0,0,0
24822820,,-0.01,0,0,0
24869545,,-0.35,0,0,0
26595688,6,349.85,0,0,350
24891486,,-0.36,0,0,0
24901190,,3.58,1,44.77,0
24903998,0,1653.4,2,2030.96,60
24939929,,396.6,0,124.5,290
24941589,0,-3.33,0,0,0
24953100,,0,0,0,0
24955690,5,0,0,0,0
25002503,,-0.56,0,0,0
25125250,,33.75,2,47.6,0
25156572,,6.65,0,7.79,0
25167405,0,0.67,2,9.46,0
25172528,8,67.09,1,75.2,0
25259801,,40.35,0,48.85,0
25358657,,50.36,1,11.57,40
25527898,-1,59.63,1,64.53,0
25607234,,-21.61,0,5.2,0
25678099,,0,0,0,0
25710665,,141.08,0,131.65,40
25740618,,-0.04,0,0,0
25756030,,20.44,0,32.58,0
33343180,6,345.55,2,477.41,0
25863076,,-0.18,0,0,0
34248163,6,319.81,0,45.23,290
25884438,0,-0.87,0,0,0
25951792,,11.11,0,10.8,0
26129518,3,0,0,0,0
26158799,,141.53,1,252.49,0
26175939,4,38.97,0,0,40
26284805,,0,0,0,0
26335984,,38,0,33.85,0
31893115,6,317.44,0,0,320
26394864,,0,0,0,0
34098607,6,301.04,0,11.54,290
26481887,,-0.32,0,0,0
26489474,,-0.42,0,0,0
26494506,,0,0,0,0
26548098,,-0.19,0,0,0
33298459,6,295.77,0,9.04,290
26617633,,-0.39,0,0,0
26650799,,2.55,0,0,0
26661051,,0,0,0,0
26674343,,5.81,0,8.48,0
33100520,6,292.91,0,3.17,290
26778811,,-0.26,0,0,0
26779070,5,44.52,0,4.86,40
26793992,,0,0,0,0
26935059,,10.08,0,8.38,0
26998298,,284.8,0,19.93,290
27066672,,-0.26,0,0,0
27101617,8,-2.33,0,0,0
