id,amount,sold_on,fvf,source_em
53158515,39.59,4/2/18 17:08,5.15,8
53158815,12.88,4/2/18 17:18,1.16,8
53158898,43.06,4/2/18 17:35,3.47,8
53159494,34.2,4/2/18 19:09,2.34,8
53159650,45,4/2/18 17:52,4.46,8
53159660,10.39,4/2/18 17:53,1.35,8
53159765,34.58,4/2/18 18:23,1.21,8
53159995,26.2,4/2/18 18:14,3.41,8
53160813,18.07,4/2/18 18:58,1.76,8
53161020,13.99,4/2/18 20:09,1.26,8
53161348,284,4/2/18 19:21,0,0
53161480,43.95,4/2/18 19:53,3.96,8
53162123,6.79,4/2/18 20:03,0.61,8
53162464,284,4/2/18 20:24,0,4
53162957,34.64,4/2/18 20:52,3.12,8
53162986,136.8,4/2/18 20:59,8.25,8
53162990,33.65,4/2/18 21:01,1.18,8
53163102,13.09,4/2/18 21:14,0.5,8
53163105,21.99,4/2/18 21:40,1.98,8
53163262,33.7,4/2/18 21:17,3.03,8
53163269,284,4/2/18 21:18,0,0
53163878,17.77,4/2/18 22:04,0.62,0
53163969,24.5,4/3/18 0:09,2.21,8
53164423,39.55,4/2/18 23:02,3.6,8
53164577,39.55,4/2/18 23:05,5.14,22
53165025,68.78,4/3/18 0:00,13.07,8
53165520,539.84,4/3/18 0:56,45.45,8
53166099,23.99,4/3/18 2:13,0.36,
53166358,43.95,4/3/18 2:57,3.96,8
53166950,29.99,4/3/18 4:11,4.39,8
53167232,58.44,4/3/18 4:55,0,8
53167407,17.75,4/3/18 10:24,1.6,8
53167455,87.9,4/3/18 5:16,7.91,8
53167586,76,4/3/18 5:38,6.84,8
53167594,19.79,4/3/18 5:26,2.57,8
53167622,34.99,4/3/18 5:33,10.5,8
53168420,139.98,4/4/18 5:08,18.2,8
53168594,69.99,4/3/18 6:46,9.1,8
53168821,219.95,4/3/18 7:14,28.59,8
53168881,12.86,4/3/18 7:07,1.67,8
53168935,37,4/7/18 17:23,2.43,8
53169182,69.71,4/3/18 7:31,2.44,15
53169490,72.5,4/3/18 7:53,5.09,8
53170149,43.95,4/3/18 8:36,3.96,7
53170153,254,4/3/18 8:45,0,4
53170601,44.42,4/3/18 9:06,5.77,8
53170794,37.01,4/3/18 9:20,2.43,8
53170849,66.99,4/3/18 9:21,3.52,3
53170886,54.54,4/3/18 9:22,4.91,8
53170902,137.75,4/3/18 9:24,12.4,8
53171019,23.44,4/3/18 9:32,0.82,0
53171175,43.95,4/3/18 9:46,3.96,8
53171178,43.95,4/3/18 9:45,3.96,8
53171271,131.85,4/3/18 9:55,11.87,8
53171447,44.5,4/3/18 10:16,4.98,8
53172152,62.23,4/3/18 10:52,11.82,8
53172170,38.5,4/3/18 10:49,2.36,4
53172317,69.99,4/3/18 11:12,9.1,8
53172390,43.95,4/3/18 11:05,3.96,8
53172406,28.23,4/3/18 10:58,2.54,3
53172710,43.95,4/3/18 11:18,3.96,8
53172960,69.99,4/3/18 11:35,0,4
53173093,19.4,4/5/18 7:40,4.55,8
53173260,32.36,4/3/18 11:49,2.91,8
53173359,69.99,4/3/18 11:48,9.1,22
53173405,20.49,4/3/18 12:08,1.84,8
53173653,33.66,4/3/18 12:07,3.03,8
53173696,90.1,4/3/18 12:11,0,8
53173813,55.94,4/3/18 12:41,5.03,8
53174126,14.61,4/3/18 12:38,0,8
53174329,15.99,4/3/18 12:49,0,8
53175534,39.11,4/3/18 13:20,4.98,8
53176226,35,4/3/18 13:57,3.15,8
53176296,95,4/3/18 15:20,12.35,8
53176533,17.77,4/3/18 14:13,5.33,8
53176570,43.95,4/3/18 14:16,3.96,8
