seller_id,offers,amount,order_value,sum_fvf,order_fvf_value
136199,2,18.62,9.31,1.00,0.50
138511,9,106.21,11.80,5.04,0.56
138991,7,366.35,52.34,31.22,4.46
139468,2,58.95,29.48,3.06,1.53
142832,27,1222.53,45.28,60.48,2.24
143373,1,7.00,7.00,0.50,0.50
145151,2,35.34,17.67,1.00,0.50
145362,3,92.96,30.99,2.49,0.83
146073,1,13.49,13.49,1.21,1.21
146109,1,9.50,9.50,0.50,0.50
150680,1,20.45,20.45,0.50,0.50
153624,3,204.93,68.31,12.49,4.16
157212,1,32.15,32.15,0.84,0.84
157462,6,93.88,15.65,4.83,0.81
158033,1,170.00,170.00,22.10,22.10
158801,1,60.00,60.00,6.50,6.50
160621,1,4.49,4.49,0.50,0.50
161804,6,247.20,41.20,23.15,3.86
162306,4,75.58,18.90,14.36,3.59
163224,5,63.07,12.61,3.75,0.75
163850,2,63.27,31.64,11.23,5.62
164037,1,9.99,9.99,0.50,0.50
165399,4,664.85,166.21,86.42,21.61
167627,2,35.47,17.74,1.00,0.50
168072,1,12.00,12.00,0.50,0.50
168412,1,38.44,38.44,0.00,0.00
168569,6,74.50,12.42,5.38,0.90
168856,1,349.60,349.60,30.56,30.56
170867,1,37.43,37.43,1.62,1.62
174151,1,18.50,18.50,1.67,1.67
177720,28,564.07,20.15,57.26,2.05
177903,1,15.98,15.98,0.56,0.56
178562,1,33.66,33.66,0.83,0.83
180150,1,17.80,17.80,0.52,0.52
182889,4,58.00,14.50,4.60,1.15
185847,1,11.98,11.98,1.08,1.08
186754,1,74.90,74.90,2.28,2.28
189424,8,213.88,26.74,19.25,2.41
189435,2,6.29,3.15,1.02,0.51
191155,1,8.93,8.93,0.52,0.52
191661,2,30.30,15.15,1.03,0.52
192788,1,129.99,129.99,4.55,4.55
192955,3,15.97,5.32,1.76,0.59
193920,1,12.89,12.89,2.67,2.67
195747,7,49.50,7.07,3.52,0.50
196300,5,1379.80,275.96,84.23,16.85
197702,1,43.90,43.90,7.59,7.59
202549,1,28.29,28.29,0.70,0.70
202809,1,46.75,46.75,3.38,3.38
205214,3,110.20,36.73,5.48,1.83
206208,1,55.18,55.18,4.45,4.45
207892,2,38.63,19.32,3.16,1.58
209924,2,47.97,23.99,3.65,1.83
210807,2,95.06,47.53,12.36,6.18
211672,1,15.75,15.75,0.55,0.55
219490,1,23.95,23.95,2.16,2.16
223288,2,54.83,27.42,5.24,2.62
225122,6,113.87,18.98,8.38,1.40
225707,1,48.28,48.28,1.34,1.34
227080,1,13.00,13.00,0.72,0.72
227537,2,120.00,60.00,10.80,5.40
228526,3,1425.00,475.00,63.45,21.15
228542,2,17.11,8.56,1.79,0.90
231361,4,375.56,93.89,25.37,6.34
232625,1,51.44,51.44,5.52,5.52
236667,2,45.63,22.82,4.02,2.01
237364,1,7.99,7.99,0.50,0.50
239161,1,58.99,58.99,4.50,4.50
241293,1,29.65,29.65,1.04,1.04
243454,1,28.55,28.55,2.57,2.57
243712,2,25.73,12.87,1.55,0.78
243818,1,180.00,180.00,6.17,6.17
246154,9,662.07,73.56,88.06,9.78
247393,2,19.41,9.71,1.67,0.84
248301,1,32.60,32.60,2.58,2.58
250825,1,6.20,6.20,0.50,0.50
251790,2,64.75,32.38,5.83,2.92
253405,1,20.00,20.00,1.96,1.96
255976,1,13.09,13.09,0.50,0.50
256875,3,95.95,31.98,5.28,1.76
262417,1,8.65,8.65,0.72,0.72
263245,2,11.89,5.95,1.08,0.54
270265,5,127.50,25.50,5.12,1.02
291755,3,40.16,13.39,4.23,1.41
291920,1,14.92,14.92,0.60,0.60
292134,1,10.00,10.00,0.50,0.50
292636,2,118.49,59.25,8.87,4.44
292652,5,220.68,44.14,,0.00
296583,3,78.49,26.16,7.07,2.36
299737,6,345.84,57.64,16.46,2.74
302226,1,19.99,19.99,0.70,0.70
304730,3,47.62,15.87,0.50,0.17
305158,32,1309.02,40.91,104.49,3.27
305568,6,86.62,14.44,6.58,1.10
306100,40,1270.67,31.77,93.61,2.34
310458,18,144.19,8.01,12.79,0.71
314159,1,14.49,14.49,0.60,0.60
315619,4,527.95,131.99,84.47,21.12
318622,2,47.98,23.99,4.32,2.16
318833,9,594.88,66.10,67.73,7.53
322453,2,43.45,21.73,4.50,2.25
323625,2,37.44,18.72,5.09,2.55
327068,1,14.50,14.50,0.81,0.81
327631,1,102.46,102.46,3.48,3.48
329149,3,186.75,62.25,11.87,3.96
331709,5,55.27,11.05,5.13,1.03
335519,1,88.00,88.00,14.08,14.08
336970,3,283.78,94.59,26.53,8.84
338980,4,113.95,28.49,9.32,2.33
339068,1,14.99,14.99,1.90,1.90
339280,2,10.44,5.22,1.12,0.56
339661,4,23.95,5.99,2.00,0.50
340054,1,18.50,18.50,1.22,1.22
340853,1,14.98,14.98,0.50,0.50
341180,3,138.25,46.08,15.72,5.24
342195,1,26.94,26.94,0.80,0.80
342242,1,27.71,27.71,0.00,0.00
342837,2,47.83,23.92,0.70,0.35
343097,6,848.73,141.46,72.89,12.15
343403,2,60.83,30.42,3.73,1.87
344669,3,73.43,24.48,8.39,2.80
346324,1,25.00,25.00,,0.00
346400,1,25.80,25.80,,0.00
348150,2,112.58,56.29,3.88,1.94
348922,2,188.00,94.00,16.92,8.46
349582,2,103.45,51.73,9.22,4.61
349888,1,50.00,50.00,1.40,1.40
350410,4,220.55,55.14,15.30,3.83
351464,1,14.99,14.99,0.52,0.52
356419,1,17.53,17.53,1.68,1.68
362070,1,57.05,57.05,4.23,4.23
363467,1,8.99,8.99,1.17,1.17
365718,2,3290.00,1645.00,96.86,48.43
367485,1,8.99,8.99,0.54,0.54
367877,1,69.95,69.95,7.79,7.79
368127,8,299.25,37.41,25.78,3.22
372281,1,20.93,20.93,0.56,0.56
373349,2,39.55,19.78,2.66,1.33
373578,1,14.74,14.74,0.99,0.99
376126,1,38.35,38.35,0.99,0.99
376507,8,1201.92,150.24,104.87,13.11
377073,2,22.54,11.27,2.93,1.47
384155,1,12.99,12.99,0.65,0.65
385220,1,44.30,44.30,1.23,1.23
385568,1,259.98,259.98,22.50,22.50
388347,1,54.43,54.43,4.00,4.00
388815,1,15.74,15.74,2.05,2.05
389071,4,89.16,22.29,7.77,1.94
391510,1,4.96,4.96,0.50,0.50
392954,5,105.75,21.15,8.55,1.71
393331,1,27.79,27.79,0.63,0.63
394593,23,1894.26,82.36,149.32,6.49
397381,3,58.96,19.65,3.33,1.11
397929,5,46.85,9.37,5.87,1.17
399885,2,10.90,5.45,1.00,0.50
402035,2,13.50,6.75,1.00,0.50
403525,9,1800.88,200.10,107.18,11.91
404249,2,83.57,41.79,1.94,0.97
409145,3,58.97,19.66,6.40,2.13
410087,2,254.70,127.35,22.02,11.01
410271,1,5.49,5.49,,0.00
410405,2,1353.27,676.64,90.79,45.40
412921,4,80.11,20.03,5.62,1.41
415237,3,86.92,28.97,4.68,1.56
415399,7,81.60,11.66,7.65,1.09
415555,2,114.64,57.32,14.90,7.45
417295,1,16.76,16.76,1.30,1.30
418711,3,83.68,27.89,2.59,0.86
419792,2,29.34,14.67,1.95,0.98
420091,1,33.00,33.00,2.25,2.25
420592,1,20.00,20.00,,0.00
420721,4,121.92,30.48,14.35,3.59
421183,3,1000.00,333.33,63.75,21.25
421448,1,9.74,9.74,0.54,0.54
423708,1,95.00,95.00,12.35,12.35
424281,6,296.87,49.48,47.30,7.88
425187,1,13.74,13.74,1.30,1.30
428233,1,184.73,184.73,16.63,16.63
428829,2,81.24,40.62,3.21,1.61
429663,3,101.13,33.71,2.81,0.94
430366,18,330.71,18.37,34.63,1.92
430488,1,31.08,31.08,4.04,4.04
432101,1,42.06,42.06,0.00,0.00
434442,2,47.60,23.80,2.92,1.46
436782,1,7.50,7.50,0.68,0.68
437448,1,149.00,149.00,19.37,19.37
438044,36,1224.29,34.01,106.90,2.97
444274,1,10.59,10.59,0.55,0.55
449645,2,35.09,17.55,2.99,1.50
451670,1,29.98,29.98,0.00,0.00
453973,1,9.49,9.49,0.00,0.00
454403,4,198.00,49.50,14.49,3.62
456040,1,14.99,14.99,1.95,1.95
458795,1,169.99,169.99,14.40,14.40
458966,2,146.18,73.09,11.84,5.92
460122,1,1299.99,1299.99,29.35,29.35
464272,1,83.89,83.89,10.91,10.91
464403,6,120.95,20.16,10.80,1.80
465384,6,702.90,117.15,107.99,18.00
465851,1,10.00,10.00,0.50,0.50
466025,1,13.39,13.39,1.52,1.52
466792,5,77.30,15.46,3.82,0.76
472890,1,10.53,10.53,0.72,0.72
472964,1,14.36,14.36,0.83,0.83
473858,4,360.00,90.00,30.35,7.59
475823,1,15.95,15.95,0.56,0.56
477081,1,47.00,47.00,4.23,4.23
477162,9,459.82,51.09,32.01,3.56
478574,2,367.92,183.96,30.55,15.28
481842,3,73.34,24.45,6.43,2.14
