id,category_id
58864503,18793
58864514,18793
58864578,18793
58864697,18793
58864689,18793
58864942,18793
58866010,18793
58866091,18793
58866202,18793
58864106,18793
58828607,18793
58866632,18793
58824310,18793
58867072,18793
58867087,18793
58867156,18793
58867194,18793
58789895,18793
58867400,18793
58867458,18793
58789301,18793
58867697,18793
58867703,18793
58867788,18793
58867822,18793
58867907,18793
58867912,18793
58867917,18793
58868085,18793
58868175,18793
58868260,18793
58868315,18793
58868453,18793
58868508,18793
58868662,18793
58868619,18793
58868962,18793
58869015,18793
58869051,18793
58869078,18793
58869082,18793
58869122,18793
58869089,18793
58869156,18793
58869251,18793
58869297,18793
58869114,18793
58866613,18793
58869309,18793
58844028,18793
58869343,18793
58869381,18793
58869450,18793
58869437,18793
58869467,18793
58869683,18793
58869612,18793
58869699,18793
58869724,18793
58869652,18793
58869784,18793
58869852,18793
58869754,18793
58869912,18793
58869974,18793
58869926,18793
58869906,18793
58869906,18793
58869988,18793
58870045,18793
58870088,18793
58870151,18793
58870198,18793
58870247,18793
58870239,18793
58870274,18793
58870131,18793
58870131,18793
58870293,18793
58870389,18793
58870430,18793
58870466,18793
58870501,18793
58870501,18793
58870564,18793
58870543,18793
58870603,18793
58869293,18793
58870610,18793
58599676,18793
58870708,18793
58870738,18793
58870722,18793
58870763,18793
58870831,18793
58870824,18793
58870771,18793
58871033,18793
58871092,18793
58870965,18793
58871154,18793
58870932,18793
58871249,18793
58871249,18793
58870883,18793
58871081,18793
58871404,18793
58871506,18793
58871592,18793
58871644,18793
58871722,18793
58871721,18793
58871770,18793
58871775,18793
58871803,18793
58871856,18793
58871946,18793
58871922,18793
58871870,18793
58872012,18793
58872007,18793
58871924,18793
58871924,18793
58871735,18793
58872315,18793
58872462,18793
58872347,18793
58872528,18793
58872586,18793
58872522,18793
58872385,18793
58872839,18793
58872475,18793
58872877,18793
58872880,18793
58872860,18793
58872771,18793
58872855,18793
58872854,18793
58873036,18793
58873172,18793
58872863,18793
58873249,18793
58873212,18793
58873272,18793
58873311,18793
58873363,18793
58873404,18793
58873482,18793
58873319,18793
58873424,18793
58873532,18793
58873581,18793
58873511,18793
58873583,18793
58873617,18793
58873620,18793
58873620,18793
58869720,18793
58873671,18793
58873796,18793
58873852,18793
58874023,18793
58874071,18793
58874126,18793
58874108,18793
58874123,18793
58874235,18793
58871139,18793
58874260,18793
58874228,18793
58874142,18793
58874216,18793
58874490,18793
58874628,18793
58874660,18793
58874624,18793
58874706,18793
58874710,18793
58874755,18793
58874852,18793
58874757,18793
58874934,18793
58874933,18793
58874903,18793
58875105,18793
58875010,18793
58875117,18793
58875111,18793
58871013,18793
58875350,18793
58875279,18793
58875331,18793
58875454,18793
58875439,18793
58875487,18793
58875369,18793
58875563,18793
58875511,18793
58875612,18793
58875929,18793
58876056,18793
58876084,18793
58876123,18793
58876292,18793
58876358,18793
58876625,18793
58756538,18793
58876729,18793
58876798,18793
58877146,18793
58877156,18793
58876969,18793
58877015,18793
58877232,18793
58877127,18793
58877380,18793
58877403,18793
58877363,18793
58877433,18793
58877480,18793
58877518,18793
58877539,18793
58877565,18793
58877594,18793
58877638,18793
58877635,18793
58877663,18793
58877614,18793
58877697,18793
58877736,18793
58877765,18793
58877568,18793
58877879,18793
58877891,18793
58877952,18793
58878046,18793
58878063,18793
58878063,18793
58878089,18793
58877974,18793
58878105,18793
58878052,18793
58878019,18793
58878123,18793
58878137,18793
58878042,18793
58878130,18793
58878230,18793
58878177,18793
58878317,18793
58878348,18793
58878415,18793
58878362,18793
58878302,18793
58878467,18793
58878519,18793
58878508,18793
58878617,18793
58878524,18793
58878654,18793
58878715,18793
58878927,18793
58878780,18793
58878832,18793
58879068,18793
58879082,18793
58877992,18793
58879197,18793
58879239,18793
58879226,18793
58879240,18793
58879384,18793
58879367,18793
58879571,18793
58879861,18793
58879965,18793
58879969,18793
58879972,18793
58880038,18793
58880086,18793
58880120,18793
58880526,18793
58880777,18793
58880782,18793
58880806,18793
58880832,18793
58713274,18793
58880901,18793
58880912,18793
58880911,18793
58881087,18793
58881188,18793
58881248,18793
58881298,18793
58881416,18793
58881508,18793
58881526,18793
58881595,18793
58881626,18793
58881664,18793
58881691,18793
58881769,18793
58881764,18793
58882294,18793
58882786,18793
58882828,18793
58882680,18793
58882909,18793
58883402,18793
58883475,18793
58883534,18793
58883532,18793
58883610,18793
58883945,18793
58884058,18793
58884020,18793
58883924,18793
58884094,18793
58884126,18793
58884150,18793
58813372,18793
58884375,18793
58884375,18793
58884511,18793
58884541,18793
58884758,18793
58884720,18793
58884776,18793
58884867,18793
58884847,18793
58884958,18793
58884966,18793
58885002,18793
58885017,18793
58885005,18793
58885079,18793
58885127,18793
58885184,18793
58885163,18793
58885169,18793
58885220,18793
58885322,18793
58885444,18793
58885473,18793
58885408,18793
58885570,18793
58885560,18793
58885625,18793
58885696,18793
58885701,18793
58885741,18793
58885747,18793
58885742,18793
58885764,18793
58885739,18793
58885714,18793
58885777,18793
58885836,18793
58885872,18793
58885870,18793
58885921,18793
58885970,18793
58886027,18793
58875636,18793
58886009,18793
58886070,18793
58886005,18793
58886005,18793
58886095,18793
58886138,18793
58886087,18793
58886087,18793
58886130,18793
58886185,18793
58886215,18793
58886181,18793
58886203,18793
58886318,18793
58886390,18793
58886292,18793
58843934,18793
58886428,18793
58886443,18793
58886501,18793
58886406,18793
58886406,18793
58886484,18793
58886521,18793
58886576,18793
58886452,18793
58886589,18793
58886627,18793
58886640,18793
58886505,18793
58886660,18793
58886676,18793
58886680,18793
58886652,18793
58886649,18793
58876067,18793
58886746,18793
58874886,18793
58886778,18793
58886779,18793
58886288,18793
58886798,18793
58886808,18793
58886879,18793
58886947,18793
58886980,18793
58887043,18793
58887034,18793
58887070,18793
58887082,18793
58887022,18793
58887067,18793
58887122,18793
58887142,18793
58887208,18793
58887197,18793
58887213,18793
58887201,18793
58887288,18793
58887453,18793
58886862,18793
58887473,18793
58887495,18793
58887525,18793
58887501,18793
58887500,18793
58887555,18793
58887504,18793
58887257,18793
58887586,18793
58886422,18793
58887359,18793
58887578,18793
58887236,18793
58887705,18793
58887396,18793
58887762,18793
58887742,18793
58887916,18793
58887927,18793
58887868,18793
58887961,18793
58888026,18793
58887783,18793
58888094,18793
58853787,18793
58888137,18793
58888153,18793
58888205,18793
58888218,18793
58888228,18793
58888199,18793
58888246,18793
58888279,18793
58888207,18793
58888325,18793
58888209,18793
58888328,18793
58888291,18793
58888144,18793
58888415,18793
58840952,18793
58888494,18793
58888527,18793
58887454,18793
58888559,18793
58888608,18793
58888679,18793
58888660,18793
58888718,18793
58888276,18793
58888893,18793
58888980,18793
58889078,18793
58889086,18793
58889035,18793
58889041,18793
58889039,18793
58889087,18793
58889082,18793
58889193,18793
58889044,18793
58889227,18793
58888818,18793
58889253,18793
58874899,18793
58889282,18793
58889349,18793
58889349,18793
58889238,18793
58889327,18793
58889372,18793
58889397,18793
58889410,18793
58889418,18793
58889466,18793
58889457,18793
58889427,18793
58889467,18793
58889532,18793
58889164,18793
58889559,18793
58889603,18793
58889642,18793
58889662,18793
58889680,18793
58889623,18793
58889663,18793
58889810,18793
58889826,18793
58880164,18793
58889811,18793
58889861,18793
58889854,18793
58889852,18793
58889852,18793
58889922,18793
58889932,18793
58889869,18793
58889942,18793
58889903,18793
58889926,18793
58889669,18793
58889965,18793
58890089,18793
58890159,18793
58890272,18793
58890337,18793
58890303,18793
58890385,18793
58890379,18793
58890376,18793
58890382,18793
58890347,18793
58890402,18793
58890528,18793
58890506,18793
58890562,18793
58890532,18793
58890222,18793
58890271,18793
58890587,18793
58890662,18793
58890669,18793
58890680,18793
58878973,18793
58890753,18793
58890730,18793
58890789,18793
58890838,18793
58890865,18793
58889915,18793
58890971,18793
58890888,18793
58890841,18793
58890439,18793
58890978,18793
58891053,18793
58891137,18793
58891178,18793
58891069,18793
58891208,18793
58891281,18793
58891275,18793
58891306,18793
58891212,18793
58891385,18793
58891301,18793
58890794,18793
58891202,18793
58891524,18793
58891555,18793
58891602,18793
58891639,18793
58891538,18793
58891708,18793
58891685,18793
58891725,18793
58891737,18793
58891766,18793
58891758,18793
58891758,18793
58891781,18793
58891782,18793
58891782,18793
58891922,18793
58891962,18793
58891924,18793
58891812,18793
58891872,18793
58892002,18793
58892010,18793
58892027,18793
58891990,18793
58892116,18793
58892154,18793
58892079,18793
58891791,18793
58892217,18793
58892178,18793
58886547,18793
58892092,18793
58892370,18793
58892393,18793
58892069,18793
58892466,18793
58892438,18793
58892285,18793
58892581,18793
58892616,18793
58892680,18793
58892670,18793
58892734,18793
58892576,18793
58892794,18793
58892868,18793
58892989,18793
58890390,18793
58893099,18793
58854714,18793
58893245,18793
58893293,18793
58893193,18793
58893300,18793
58893377,18793
58893299,18793
58893299,18793
58893341,18793
58893483,18793
58893537,18793
58892007,18793
58893576,18793
58893576,18793
58893609,18793
58893594,18793
58893624,18793
58893659,18793
58893663,18793
58893643,18793
58893699,18793
58893637,18793
58794184,18793
58893754,18793
58893778,18793
58893548,18793
58893581,18793
58893892,18793
58893939,18793
58893964,18793
58893941,18793
58894015,18793
58894005,18793
58894110,18793
58894062,18793
58894116,18793
58894249,18793
58894390,18793
58894374,18793
58894240,18793
58894440,18793
58894416,18793
58894402,18793
58894454,18793
58894336,18793
58894648,18793
58894657,18793
58894718,18793
58894692,18793
58894774,18793
58894866,18793
58894953,18793
58894908,18793
58894663,18793
58894871,18793
58895005,18793
58895082,18793
58895016,18793
58895179,18793
58895183,18793
58895254,18793
58895273,18793
58895256,18793
58895287,18793
58895291,18793
58895314,18793
58895363,18793
58895392,18793
58895413,18793
58895483,18793
58895507,18793
58895723,18793
