seller_id,committed,item_count,booth_id,initial_booth_activation,entry_source_em,inventory_source_em,parent_booth_id,entry_url,entry_query,fees_paid,membership_paid,profit_estimate,value_em
10905271,TRUE,1,2043535,3/11/19,unknown,,,,,0,0,0,0
11063022,TRUE,0,2080476,12/6/18,unknown,2,,,,0,0,0,0
10703609,TRUE,1,2129065,1/21/19,unknown,,,,,0,0,0,0
11866038,FALSE,0,2205983,1/17/19,unknown,1,,,,0,0,-0.1,0
12031398,TRUE,5,2292522,3/10/19,unknown,1,,,,0,0,0,0
12598725,TRUE,8,2326073,3/23/19,unknown,1,,,,0,0,-0.02,0
12655310,FALSE,0,2333524,10/24/18,unknown,3,,,,0,0,0,0
12650733,TRUE,112,2337409,3/7/19,unknown,1,,,,0,0,-0.61,0
12879680,TRUE,0,2367206,12/12/18,unknown,,,,,0,0,0,0
12882984,FALSE,0,2368474,12/28/18,unknown,,,,,0,0,0,0
12915156,TRUE,0,2372563,11/7/18,unknown,6,,,,0,0,0,0
4121053,TRUE,0,2374040,1/19/19,unknown,1,,,,0,0,0,0
13145976,TRUE,1,2402665,2/7/19,unknown,,,,,0,0,0,0
13238585,TRUE,1556,2413826,11/14/18,unknown,1,,,,0,0,0,0
13429876,FALSE,0,2436603,12/6/18,unknown,,,,,0,0,0,0
13842820,TRUE,2,2489892,3/6/19,unknown,,,,,0,0,0,0
14125244,TRUE,8381,2524327,1/23/19,unknown,4,,,,0,0,0,0
12017978,TRUE,333,2561431,1/8/19,unknown,1,,,,0,0,-1.28,0
14419086,TRUE,21,2562166,10/22/18,unknown,1,,,,0,0,0,0
14611056,FALSE,0,2583307,10/20/18,unknown,,,,,0,0,0,0
14644509,TRUE,0,2587813,10/15/18,unknown,4,,,,0,0,0,0
14710066,TRUE,13,2596305,2/10/19,unknown,1,,,,0,0,0,0
14774475,TRUE,13,2606120,1/3/19,unknown,,,,,0,0,0,0
12525960,TRUE,0,2655469,10/24/18,unknown,,,,,0,0,0,0
15341984,TRUE,218,2664068,3/6/19,unknown,1,,,,0,0,0,0
13242295,TRUE,1,2704426,2/12/19,unknown,,,,,0,0,0,0
14125423,TRUE,46,2714508,1/17/19,unknown,1,,,,0,0,0,0
15998713,TRUE,518,2715741,11/12/18,unknown,1,,,,172.42,160,252.17,1
16050376,TRUE,2,2722093,3/25/19,unknown,,,,,0,0,0,0
16384788,TRUE,25,2754846,3/5/19,unknown,,,,,0,0,-0.06,0
16490385,TRUE,87,2762725,2/5/19,unknown,3,,,,0,660,660,0
5787569,TRUE,1437,2763889,10/10/18,unknown,1,,,,0,0,0,0
13569013,TRUE,12,2788000,10/22/18,unknown,,,,,0,0,0,0
17353007,TRUE,0,2825574,10/10/18,unknown,6,,,,0,0,-0.19,0
17439283,TRUE,4,2827189,12/16/18,unknown,1,,,,0,0,0,0
15555076,TRUE,2,2839808,2/13/19,unknown,,,,,0,0,0,0
18466190,TRUE,3,2856530,2/17/19,unknown,3,,,,0,0,0,0
18469432,TRUE,42,2856771,3/22/19,unknown,1,,,,0,0,-0.04,0
18719617,TRUE,836,2876715,11/9/18,unknown,1,,,,5,0,4.39,0
18729680,TRUE,211,2877384,11/23/18,unknown,4,,,,0,0,0,0
18787248,TRUE,0,2882163,10/4/18,unknown,6,,,,0,0,0,0
18842826,FALSE,0,2886612,2/22/19,unknown,,,,,0,0,0,0
19047078,TRUE,1,2902734,11/26/18,unknown,,,,,0,0,0,0
19064082,TRUE,0,2904016,2/15/19,unknown,,,,,0,0,0,0
19226818,TRUE,9,2916710,11/27/18,unknown,,,,,0,0,0,0
19545361,TRUE,14,2943498,1/12/19,unknown,,,,,0,0,0,0
19577474,TRUE,115,2946243,1/16/19,unknown,1,,,,0,0,-0.02,0
19729262,TRUE,7,2958019,11/15/18,unknown,,,,,0,0,0,0
20013426,TRUE,1,2981212,12/2/18,unknown,,,,,0,0,0,0
20066435,TRUE,2,2985868,1/4/19,unknown,1,,,,0,0,0,0
20480357,TRUE,665,3018312,1/12/19,unknown,1,,,,3.43,0,1.83,0
20730790,TRUE,7497,3039726,10/31/18,unknown,2,,,,0,0,-9.34,0
21113131,TRUE,43,3068937,11/25/18,unknown,1,,,,0,0,0,0
20450349,TRUE,1,3073569,3/26/19,unknown,,,,,0,0,0,0
